wavelength(Angstrom),flux(erg/s/cm2),flux_smooth(erg/s/cm2)
3380.0,2.0151216808159293e-17,8.182727872545054e-18
3381.0,8.909865114302063e-18,1.0922306220748216e-17
3382.0,1.1852557735345075e-17,1.4427211096839528e-17
3383.0,1.3697893104019759e-17,1.4048307782369813e-17
3384.0,1.7524524669236824e-17,1.567850540742197e-17
3385.0,1.8256699945041635e-17,1.591009447224089e-17
3386.0,1.7060853725746124e-17,1.645862936928808e-17
3387.0,1.301050362979641e-17,1.717491814892225e-17
3388.0,1.6440567449006144e-17,1.690568409442604e-17
3389.0,2.110596562439407e-17,1.6631283469823824e-17
3390.0,1.6910531397953975e-17,1.698129005677461e-17
3391.0,1.5688851366902597e-17,1.6844265933943977e-17
3392.0,1.4760537365446593e-17,1.6319219657570843e-17
3393.0,1.5755445985900952e-17,1.6134884112424626e-17
3394.0,1.8480731908439e-17,1.5600426175041864e-17
3395.0,1.5988856055619088e-17,1.7037073462923963e-17
3396.0,1.301656412641439e-17,1.744957354515313e-17
3397.0,2.1943771727642978e-17,1.6061443708919718e-17
3398.0,1.781794257383091e-17,1.7229884300626398e-17
3399.0,1.1540083032621962e-17,1.746383910199722e-17
3400.0,2.183106349201819e-17,1.771022146489104e-17
3401.0,1.4186334977564558e-17,1.7762125393967518e-17
3402.0,2.3175686883976132e-17,1.9423770771547715e-17
3403.0,1.807746258641919e-17,1.9769112059843704e-17
3404.0,1.9848310399610567e-17,2.0803941475927143e-17
3405.0,2.355776751520409e-17,1.8968207666629036e-17
3406.0,1.9360483429795304e-17,1.8181735920742193e-17
3407.0,1.3997011337052808e-17,1.711378288420968e-17
3408.0,1.41451053868881e-17,1.6228737679086118e-17
3409.0,1.450854552009314e-17,1.596321104809537e-17
3410.0,1.913254088763971e-17,1.642959532978747e-17
3411.0,1.8032850562449923e-17,1.7126119455865296e-17
3412.0,1.6328930592082588e-17,1.7242406160739226e-17
3413.0,1.7627733757696066e-17,1.7690154063230504e-17
3414.0,1.508997287627215e-17,1.8281720550103928e-17
3415.0,2.1371279705969548e-17,2.0479230072108227e-17
3416.0,2.0990687467451176e-17,2.1668762115073784e-17
3417.0,2.731647970232748e-17,2.2846932005145312e-17
3418.0,2.3575387122505113e-17,2.2930171190186524e-17
3419.0,2.0980821886048417e-17,2.161330461808578e-17
3420.0,2.178747773611324e-17,1.9301273594634738e-17
3421.0,1.4406355598359892e-17,1.826797446268452e-17
3422.0,1.5756324740979563e-17,1.7333685541334452e-17
3423.0,1.8408889042298313e-17,1.6438626487715323e-17
3424.0,1.6309382174573153e-17,1.7046450382347864e-17
3425.0,1.73121750077771e-17,1.9284720056216326e-17
3426.0,1.7445478483013872e-17,1.8312303071711238e-17
3427.0,2.6947672251930072e-17,1.921146824989108e-17
3428.0,1.3546802189258738e-17,2.0270820262414267e-17
3429.0,2.0805215987900888e-17,2.1664761869631478e-17
3430.0,2.260893290431565e-17,2.0344831420541836e-17
3431.0,2.4415184735733235e-17,2.2092644202531683e-17
3432.0,2.034801872804559e-17,2.0867260497456853e-17
3433.0,2.2285869752041606e-17,2.0002764113110333e-17
3434.0,1.4678295336945537e-17,1.8958296388529426e-17
3435.0,1.8286451753954898e-17,1.8540427904124787e-17
3436.0,1.919284439861292e-17,1.7982506161486346e-17
3437.0,1.825867997387952e-17,1.8275872383173178e-17
3438.0,1.9496260619894872e-17,1.8521308451446237e-17
3439.0,1.6145122871597087e-17,1.923626050721052e-17
3440.0,1.9513632640620922e-17,1.9733136320642548e-17
3441.0,2.2767603739144924e-17,1.8486585063692486e-17
3442.0,2.0743062989372345e-17,1.8546590399688307e-17
3443.0,1.3263500592112096e-17,1.8941946336541702e-17
3444.0,1.6445149688874047e-17,1.7806951965722992e-17
3445.0,2.1490418790024282e-17,1.6853177977863624e-17
3446.0,1.7092627715536372e-17,1.756896052296291e-17
3447.0,1.5974196375269392e-17,1.8271119403373448e-17
3448.0,1.684240971636793e-17,1.792202602381892e-17
3449.0,1.9955949121458605e-17,1.792657551718796e-17
3450.0,1.974495123483103e-17,1.9639454807548467e-17
3451.0,1.7115368111247628e-17,2.0301553330893062e-17
3452.0,2.4538598118089622e-17,1.9233550663523796e-17
3453.0,2.0152898038920897e-17,1.8991833599284775e-17
3454.0,1.4615939835942676e-17,1.9139422472898937e-17
3455.0,1.8536364391906463e-17,1.8792129038357323e-17
3456.0,1.7853313721544965e-17,1.839147583686114e-17
3457.0,2.2802124730689797e-17,1.816708986081633e-17
3458.0,1.8149631407862322e-17,1.7916737030982255e-17
3459.0,1.3494010907739217e-17,1.8081779415521285e-17
3460.0,1.7284604601361117e-17,1.6979956641627176e-17
3461.0,1.86785280326554e-17,1.7060962439014494e-17
3462.0,1.7293006669827097e-17,1.842299472692186e-17
3463.0,1.8554661684564154e-17,1.8575545029850114e-17
3464.0,2.0304175563019653e-17,1.9375099464305095e-17
3465.0,1.8047353339945742e-17,1.968581000907594e-17
3466.0,2.267630320787135e-17,1.9713044103563635e-17
3467.0,1.88465525036996e-17,1.896661451676926e-17
3468.0,1.869083895546817e-17,1.8979281960669896e-17
3469.0,1.6572023391681763e-17,1.878210691805563e-17
3470.0,1.8110693769229598e-17,1.779793073396249e-17
3471.0,2.1690423252475887e-17,1.7648565076392563e-17
3472.0,1.3925675862286228e-17,1.9312351197398048e-17
3473.0,1.7944006374196916e-17,2.019655764138048e-17
3474.0,2.4890960634176275e-17,1.8856680558999736e-17
3475.0,2.2531725782878317e-17,1.939348768932215e-17
3476.0,1.4991036781037147e-17,1.9048789947542727e-17
3477.0,1.660970751375604e-17,1.7791543245272354e-17
3478.0,1.622052293916672e-17,1.6074288169471442e-17
3479.0,1.8604725868871957e-17,1.5699308999827678e-17
3480.0,1.3945451275120896e-17,1.5802160637192522e-17
3481.0,1.3116133663497774e-17,1.6082568247403098e-17
3482.0,1.7123971876809728e-17,1.585437227745687e-17
3483.0,1.7622558650518747e-17,1.664558707697609e-17
3484.0,1.7463748363570958e-17,1.8142008090282496e-17
3485.0,1.790152710405993e-17,1.9209246442765763e-17
3486.0,2.0598234664297254e-17,1.8835397201838747e-17
3487.0,2.2460165128566153e-17,1.9674717517061603e-17
3488.0,1.5753308865188772e-17,2.0015352147672165e-17
3489.0,2.1660354895163172e-17,1.901219216852093e-17
3490.0,1.960469344729884e-17,1.8418068039193493e-17
3491.0,1.558243936059059e-17,1.8670973548397906e-17
3492.0,1.9489545249810135e-17,1.7236265171871632e-17
3493.0,1.7017835924061873e-17,1.6542440963313178e-17
3494.0,1.4486813189753542e-17,1.6415075001314713e-17
3495.0,1.6135568077366987e-17,1.5992509785392e-17
3496.0,1.4945617130746695e-17,1.5347752276408966e-17
3497.0,1.7376718446795787e-17,1.5868720552362214e-17
3498.0,1.3794047376712881e-17,1.6121420920774713e-17
3499.0,1.7091655679003894e-17,1.68087567246083e-17
3500.0,1.7399062735250006e-17,1.676865169978928e-17
3501.0,1.838229595673432e-17,1.797767046362536e-17
3502.0,1.7176198739509003e-17,1.8461887104962877e-17
3503.0,1.9839135725154382e-17,1.9475062586970904e-17
3504.0,1.951274469105465e-17,2.056045093645481e-17
3505.0,2.2464936173065044e-17,2.1004221754560933e-17
3506.0,2.3809238764921153e-17,2.022977390605816e-17
3507.0,1.9395049630316954e-17,1.97846299681352e-17
3508.0,1.596689818681661e-17,1.8133567539312005e-17
3509.0,1.7287025059066012e-17,1.676092417850681e-17
3510.0,1.4209625119561768e-17,1.7760163321554542e-17
3511.0,1.6946024302116325e-17,1.7347267846992573e-17
3512.0,2.4391244703934596e-17,1.78694934374769e-17
3513.0,1.390242492654552e-17,1.808426922916507e-17
3514.0,1.989814930969723e-17,1.726758884730779e-17
3515.0,1.528350607204761e-17,1.4831536980255448e-17
3516.0,1.2862618540100871e-17,1.6467132785985126e-17
3517.0,1.2210988077681759e-17,1.6137193600694874e-17
3518.0,2.2080403876522255e-17,1.7383248549277405e-17
3519.0,1.8248450504542766e-17,1.79720324005702e-17
3520.0,2.1513779514106593e-17,1.843878395045427e-17
3521.0,1.580654172254903e-17,1.7670581315576275e-17
3522.0,1.4544742508728584e-17,1.6984739399928958e-17
3523.0,1.8239391760890524e-17,1.6003157254236782e-17
3524.0,1.48192390769311e-17,1.7224659827877513e-17
3525.0,1.6605870830079486e-17,1.8927821400401747e-17
3526.0,2.1914059534292924e-17,1.9119910936610036e-17
3527.0,2.3060544915654033e-17,1.9591570976248998e-17
3528.0,1.9199839951945506e-17,2.080958450206598e-17
3529.0,1.717753698867753e-17,2.033764983846365e-17
3530.0,2.2695941778216124e-17,1.7311045607968876e-17
3531.0,1.9554385920610125e-17,1.6716570754061716e-17
3532.0,7.927524549780121e-18,1.8276808751626588e-17
3533.0,1.6227464576893555e-17,1.7744197081371044e-17
3534.0,2.4978728547849566e-17,1.8025853734306575e-17
3535.0,2.0032879553418352e-17,2.0982690243216177e-17
3536.0,2.096267057756846e-17,2.0669165630001428e-17
3537.0,2.2711705236941215e-17,1.7784551914735056e-17
3538.0,1.465984756148309e-17,1.6278345354782148e-17
3539.0,1.0555656850314971e-17,1.698417360838997e-17
3541.0,1.2501846146559788e-17,1.791394281487305e-17
3542.0,2.449181151103486e-17,1.9157393798887264e-17
