Wavelength(Angstrom),Flux(10e-16 erg/s/cm2),Flux_error(10e-16 erg/s/cm2)
3700.0,25.460230678,10.4698799171
3701.15161356,38.4612123305,10.4931733231
3702.30322713,-0.408255421459,10.3055290555
3703.45484069,-11.2895632292,10.0744330565
3704.60645426,62.5140892963,11.7052742943
3705.75806782,84.1866808606,12.6459647333
3706.90968139,19.433263033,10.2680372597
3708.06129495,25.6551858987,10.1698227307
3709.21290852,47.0856255665,9.69259695664
3710.36452208,28.448577739,9.66076757606
3711.51613565,15.5230148414,9.70349403551
3712.66774921,31.4984045689,9.44891087167
3713.81936277,46.3086634198,9.44205625754
3714.97097634,23.9631274723,9.54025278712
3716.1225899,12.1820521996,9.2765640191
3717.27420347,28.6738461513,9.05508925559
3718.42581703,29.2810417196,8.96780780433
3719.5774306,24.2779632661,8.86493353531
3720.72904416,29.7809965639,8.76143934404
3721.88065773,4.70196406411,8.6585544871
3723.03227129,24.0613896469,8.55456213459
3724.18388486,35.6823174591,8.43321619456
3725.33549842,13.6281756686,8.49759122795
3726.48711198,39.0346366951,8.33577140673
3727.63872555,48.7208311415,8.11549519484
3728.79033911,46.3056649231,8.02207593109
3729.94195268,43.0224085185,7.90147696824
3731.09356624,51.4279526761,7.87150258982
3732.24517981,27.4931288097,8.46984295799
3733.39679337,56.1129003776,8.32571500806
3734.54840694,43.2812279058,7.41342770134
3735.7000205,29.6900887529,7.38030553673
3736.85163407,41.2063741147,7.26355527984
3738.00324763,14.2839697522,7.59448046442
3739.15486119,35.6186417573,7.11535098385
3740.30647476,26.7405294481,6.93784252426
3741.45808832,18.8879432216,6.84143482239
3742.60970189,32.7500609199,6.73719100697
3743.76131545,19.8928800509,6.63659896234
3744.91292902,-0.409783091702,6.52195569991
3746.06454258,7.51130024082,6.628617265
3747.21615615,31.366856117,6.65244853697
3748.36776971,39.4022532294,6.67582294054
3749.51938328,22.2591068231,6.27795885973
3750.67099684,13.0983004441,6.46090050628
3751.8226104,23.0309253622,6.05054004251
3752.97422397,23.4474008745,6.04363090064
3754.12583753,41.9805876395,5.74984599321
3755.2774511,43.566394253,5.68005524292
3756.42906466,35.036677183,5.58944706976
3757.58067823,33.112273384,5.51322786879
3758.73229179,34.5195106291,5.52728914511
3759.88390536,28.6794662149,5.3446910763
3761.03551892,19.2418399397,5.23398122311
3762.18713249,25.1890721382,5.3579497889
3763.33874605,33.7739839927,5.42397653653
3764.49035961,29.6047395955,5.26632464681
3765.64197318,30.1303764789,5.03983121309
3766.79358674,39.5828830054,4.86287597189
3767.94520031,41.7760800047,4.90635258488
3769.09681387,32.2010586327,4.75349066648
3770.24842744,46.93377797,4.73023008295
3771.400041,30.0309602218,4.56943093643
3772.55165457,27.6966560038,4.65418505314
3773.70326813,25.3152419309,4.60630810398
3774.8548817,18.7351405955,4.36052058321
3776.00649526,30.7707905617,4.53379308397
3777.15810882,20.4760304713,4.50601146209
3778.30972239,13.5917140766,4.27806880793
3779.46133595,9.26995610332,4.55619128207
3780.61294952,25.9839511493,4.14292020134
3781.76456308,29.0017304876,4.01982990284
